freq_Hz,freq_GHz,lineshape_1_per_Hz
37116027423.084328,37.116027423084,1.627163206472e-07
37116027608.665009,37.116027608665,1.650867050430e-07
37116027794.245682,37.116027794246,1.674874328854e-07
37116027979.826355,37.116027979826,1.699188246262e-07
37116028165.407028,37.116028165407,1.723812029584e-07
37116028350.987701,37.116028350988,1.748748929148e-07
37116028536.568375,37.116028536568,1.774002218687e-07
37116028722.149055,37.116028722149,1.799575196410e-07
37116028907.729729,37.116028907730,1.825471180789e-07
37116029093.310402,37.116029093310,1.851693516867e-07
37116029278.891075,37.116029278891,1.878245572070e-07
37116029464.471748,37.116029464472,1.905130737246e-07
37116029650.052422,37.116029650052,1.932352426663e-07
37116029835.633095,37.116029835633,1.959914077995e-07
37116030021.213776,37.116030021214,1.987819153471e-07
37116030206.794449,37.116030206794,2.016071135251e-07
37116030392.375122,37.116030392375,2.044673532296e-07
37116030577.955795,37.116030577956,2.073629875769e-07
37116030763.536469,37.116030763536,2.102943720154e-07
37116030949.117142,37.116030949117,2.132618643224e-07
37116031134.697815,37.116031134698,2.162658246012e-07
37116031320.278496,37.116031320278,2.193066154038e-07
37116031505.859169,37.116031505859,2.223846012247e-07
37116031691.439842,37.116031691440,2.255001492477e-07
37116031877.020515,37.116031877021,2.286536288425e-07
37116032062.601189,37.116032062601,2.318454116841e-07
37116032248.181862,37.116032248182,2.350758717476e-07
37116032433.762543,37.116032433763,2.383453854380e-07
37116032619.343216,37.116032619343,2.416543310452e-07
37116032804.923889,37.116032804924,2.450030895435e-07
37116032990.504562,37.116032990505,2.483920440498e-07
37116033176.085236,37.116033176085,2.518215799495e-07
37116033361.665909,37.116033361666,2.552920848893e-07
37116033547.246582,37.116033547247,2.588039487695e-07
37116033732.827263,37.116033732827,2.623575638825e-07
37116033918.407936,37.116033918408,2.659533243185e-07
37116034103.988609,37.116034103989,2.695916268326e-07
37116034289.569283,37.116034289569,2.732728702529e-07
37116034475.149956,37.116034475150,2.769974556164e-07
37116034660.730629,37.116034660731,2.807657861579e-07
37116034846.311302,37.116034846311,2.845782673001e-07
37116035031.891983,37.116035031892,2.884353068018e-07
37116035217.472656,37.116035217473,2.923373141101e-07
37116035403.053329,37.116035403053,2.962847013002e-07
37116035588.634003,37.116035588634,3.002778824305e-07
37116035774.214676,37.116035774215,3.043172736875e-07
37116035959.795349,37.116035959795,3.084032933725e-07
37116036145.376030,37.116036145376,3.125363620589e-07
37116036330.956703,37.116036330957,3.167169018965e-07
37116036516.537376,37.116036516537,3.209453376165e-07
37116036702.118050,37.116036702118,3.252220958383e-07
37116036887.698723,37.116036887699,3.295476052239e-07
37116037073.279396,37.116037073279,3.339222964609e-07
37116037258.860069,37.116037258860,3.383466022469e-07
37116037444.440750,37.116037444441,3.428209574572e-07
37116037630.021423,37.116037630021,3.473457983896e-07
37116037815.602097,37.116037815602,3.519215638505e-07
37116038001.182770,37.116038001183,3.565486944026e-07
37116038186.763443,37.116038186763,3.612276325292e-07
37116038372.344116,37.116038372344,3.659588226148e-07
37116038557.924797,37.116038557925,3.707427111230e-07
37116038743.505470,37.116038743505,3.755797457877e-07
37116038929.086143,37.116038929086,3.804703767719e-07
37116039114.666817,37.116039114667,3.854150558625e-07
37116039300.247490,37.116039300247,3.904142366434e-07
37116039485.828163,37.116039485828,3.954683744736e-07
37116039671.408836,37.116039671409,4.005779264646e-07
37116039856.989517,37.116039856990,4.057433516700e-07
37116040042.570190,37.116040042570,4.109651102105e-07
37116040228.150864,37.116040228151,4.162436645233e-07
37116040413.731537,37.116040413732,4.215794784905e-07
37116040599.312210,37.116040599312,4.269730176242e-07
37116040784.892883,37.116040784893,4.324247490412e-07
37116040970.473557,37.116040970474,4.379351414364e-07
37116041156.054237,37.116041156054,4.435046652857e-07
37116041341.634911,37.116041341635,4.491337919002e-07
37116041527.215584,37.116041527216,4.548229947722e-07
37116041712.796257,37.116041712796,4.605727486328e-07
37116041898.376930,37.116041898377,4.663835296506e-07
37116042083.957603,37.116042083958,4.722558154018e-07
37116042269.538284,37.116042269538,4.781900850856e-07
37116042455.118958,37.116042455119,4.841868185142e-07
37116042640.699631,37.116042640700,4.902464975458e-07
37116042826.280304,37.116042826280,4.963696050792e-07
37116043011.860977,37.116043011861,5.025566252635e-07
37116043197.441650,37.116043197442,5.088080434658e-07
37116043383.022324,37.116043383022,5.151243462368e-07
37116043568.603004,37.116043568603,5.215060215408e-07
37116043754.183678,37.116043754184,5.279535576683e-07
37116043939.764351,37.116043939764,5.344674447753e-07
37116044125.345024,37.116044125345,5.410481738002e-07
37116044310.925697,37.116044310926,5.476962366885e-07
37116044496.506371,37.116044496506,5.544121263556e-07
37116044682.087051,37.116044682087,5.611963369296e-07
37116044867.667725,37.116044867668,5.680493625942e-07
37116045053.248398,37.116045053248,5.749716992240e-07
37116045238.829071,37.116045238829,5.819638432316e-07
37116045424.409744,37.116045424410,5.890262918054e-07
37116045609.990417,37.116045609990,5.961595428689e-07
37116045795.571091,37.116045795571,6.033640950399e-07
37116045981.151772,37.116045981152,6.106404478888e-07
37116046166.732445,37.116046166732,6.179891006970e-07
37116046352.313118,37.116046352313,6.254105542090e-07
37116046537.893791,37.116046537894,6.329053093949e-07
37116046723.474464,37.116046723474,6.404738677043e-07
37116046909.055138,37.116046909055,6.481167310212e-07
37116047094.635811,37.116047094636,6.558344016192e-07
37116047280.216492,37.116047280216,6.636273824373e-07
37116047465.797165,37.116047465797,6.714961757485e-07
37116047651.377838,37.116047651378,6.794412850357e-07
37116047836.958511,37.116047836959,6.874632136651e-07
37116048022.539185,37.116048022539,6.955624651570e-07
37116048208.119858,37.116048208120,7.037395431367e-07
37116048393.700539,37.116048393701,7.119949516267e-07
37116048579.281212,37.116048579281,7.203291936352e-07
37116048764.861885,37.116048764862,7.287427731423e-07
37116048950.442558,37.116048950443,7.372361936944e-07
37116049136.023232,37.116049136023,7.458099586899e-07
37116049321.603905,37.116049321604,7.544645713274e-07
